epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,33467.6,1.19766,1.30949,1.4206,0.22729,0.55844,0.28038,0.17586,1.1492,1.36293,1.35655,0.002575,0.002575,0.002575
77,33854.5,1.20046,1.31076,1.41869,0.2291,0.54188,0.28448,0.17983,1.1349,1.31746,1.34428,0.002476,0.002476,0.002476
78,34155.5,1.19596,1.31771,1.40699,0.29956,0.58287,0.27901,0.17661,1.12836,1.34216,1.34035,0.002377,0.002377,0.002377
79,34574.9,1.18165,1.29131,1.40828,0.33406,0.53039,0.25683,0.16861,1.12065,1.38935,1.33102,0.002278,0.002278,0.002278
80,34860.9,1.18636,1.27936,1.4007,0.26229,0.52669,0.26512,0.17228,1.10499,1.31566,1.32557,0.002179,0.002179,0.002179
81,35238.6,1.17455,1.2938,1.40742,0.30315,0.57818,0.27504,0.1782,1.08756,1.28686,1.30975,0.00208,0.00208,0.00208
82,35698.8,1.16437,1.27712,1.39048,0.2964,0.55687,0.2708,0.17426,1.08886,1.29177,1.31453,0.001981,0.001981,0.001981
83,36138.1,1.15561,1.28379,1.38826,0.30433,0.56491,0.28757,0.18803,1.08966,1.29837,1.31438,0.001882,0.001882,0.001882
84,36433.3,1.16668,1.26671,1.38945,0.27984,0.56803,0.27851,0.17982,1.08167,1.32961,1.31079,0.001783,0.001783,0.001783
85,36785.8,1.15261,1.26264,1.38049,0.22533,0.56369,0.279,0.18041,1.0794,1.3292,1.3105,0.001684,0.001684,0.001684
86,37270.7,1.16318,1.26934,1.39072,0.34517,0.54774,0.27017,0.17651,1.10661,1.29463,1.34096,0.001585,0.001585,0.001585
87,37623.1,1.15072,1.26161,1.37661,0.22107,0.52052,0.26974,0.17681,1.08862,1.3394,1.32156,0.001486,0.001486,0.001486
88,38000.8,1.15013,1.24996,1.38365,0.30345,0.56934,0.28067,0.18702,1.08219,1.28475,1.31575,0.001387,0.001387,0.001387
89,38418.7,1.14082,1.24471,1.37984,0.29202,0.52675,0.28608,0.18942,1.06287,1.29177,1.30131,0.001288,0.001288,0.001288
90,38912.8,1.12797,1.24021,1.37108,0.26383,0.55968,0.28268,0.18791,1.06735,1.30735,1.30153,0.001189,0.001189,0.001189
91,39474.5,1.07376,1.13414,1.38967,0.25912,0.55479,0.26915,0.17531,1.10347,1.35227,1.33408,0.00109,0.00109,0.00109
92,39771.6,1.04992,1.10855,1.36456,0.22587,0.5412,0.28524,0.18664,1.07288,1.36192,1.31051,0.000991,0.000991,0.000991
93,40082.2,1.041,1.10056,1.364,0.27407,0.55678,0.2846,0.18805,1.05184,1.36271,1.28227,0.000892,0.000892,0.000892
94,40420.2,1.03424,1.09497,1.3568,0.23137,0.53824,0.28322,0.18692,1.0629,1.34575,1.29749,0.000793,0.000793,0.000793
95,40703.2,1.02543,1.08845,1.35043,0.23219,0.53917,0.28809,0.19204,1.06273,1.32568,1.29567,0.000694,0.000694,0.000694
96,41238.6,1.02193,1.07709,1.34557,0.26928,0.56522,0.2785,0.18436,1.04904,1.30492,1.28535,0.000595,0.000595,0.000595
97,41801.5,1.00341,1.0694,1.33303,0.26841,0.5732,0.28255,0.19012,1.04843,1.32258,1.28527,0.000496,0.000496,0.000496
98,42098.9,1.00243,1.0656,1.331,0.2751,0.58942,0.29075,0.19374,1.0405,1.31552,1.27872,0.000397,0.000397,0.000397
99,42444,1.0072,1.06143,1.32959,0.27466,0.56908,0.28845,0.19309,1.04174,1.31423,1.27589,0.000298,0.000298,0.000298
100,42770.8,0.99274,1.06116,1.32565,0.27011,0.56265,0.28489,0.19094,1.04536,1.3108,1.27943,0.000199,0.000199,0.000199
